Stantec Australia Pty ltd
Starfin Australia Pty ltd
Stark Medical Pty ltd
Statewide Civil Pty ltd
Statewide Quality Services Pty ltd
Stauff Corporation Pty ltd
Stealth Electric Bikes Pty ltd
Steel Mains Proprietary Limited
Steelfab 
Stella Engineering Pty ltd
Stellar Asia Pacific Pty ltd
Stepping Up Consortium
Stevenson Logistics Pty ltd
Stewart & Heaton Clothing Co. Pty. ltd
Stiles Electrical & Communication Services Pty ltd
Stirlings Performance Steels Pty ltd
STM Building Services Pty ltd
Stockwell International Pty ltd
Stokes Lawyers Pty ltd
Stowe Australia Pty Limited
Straightmark Nominees Pty. ltd
Straker Translations Limited
Stramit Building Products
Streamline Cartons Pty ltd
Streeterlaw Pty ltd
Structplan Group Pty. ltd
Structural Concrete Indust. (Aust) 
STS Systems Pty ltd
Student Housing Australia Pty ltd
Stug Australia Pty ltd
Sturdy Components Pty ltd
Stydall Pty ltd
SUEZ Recycling & Recovery
Sulzer Australia Pty ltd
Summer Housing ltd
Summerhill Crash Repairs Pty ltd
Summit Health Incorporated
Summit Manufacturing Pty ltd
Sun Ace Australia Pty. ltd
Sun Engineering (Qld) Pty ltd
Sun Metals Corporation Pty ltd
Sunlec International Pty ltd
Sunmix Concrete Pty ltd
Sunnyhaven Disability Services ltd
Sunwater Limited
Super Global Services Pty ltd
Supercare Cleaning Pty ltd
SuperChoice Services Pty Limited
SuperConcepts Software Services Pty ltd
Superior Energy Services (Australia) Pty ltd
Surekleen Products Sales Pty ltd
Surf Life Saving Queensland
Sutton Tools Pty ltd
Swaab
Swanbuild Pty ltd
Swanson Industries (Engineering) Pty ltd
Swift Packaging Pty ltd
Switchmode Power Supplies Pty ltd
Sydney Airport Corporation Limited
Sydney Builders Group Pty ltd
Sydney Metro
Sydney Motorway Corporation Pty ltd
Sydney Night Patrol & Inquiry Co. Pty ltd
Sydney Olympic Park Authority
Symbio Laboratories Pty ltd
Synchro Marketing Australia Pty Limited
Synectix Enclosure Systems Pty ltd
Synergies Economic Consulting 
Synertec Pty ltd
Synnex Australia Pty ltd
System Air Pty ltd
Systems Construction Pty ltd
Systems of The Future (Australia) Pty ltd
T - Pack Australia 
Tacca Industries Pty ltd
Taguchi Marketing Pty ltd
TAKRAF Australia Pty. ltd
