Robertson's Paints Pty ltd
Robinson Civil Group
Robson Civil Projects Pty ltd
Robuck Security Australia Limited
Rocbolt Resins Pty ltd
Roche Diabetes Care Australia Pty ltd
Roche Diagnostics Australia Pty Limited
Rocklea Pressed Metal Pty ltd
Rocla Pty Limited
Rod Andersen Constructions Pty ltd
Rodco Pty ltd
Rodney Industries
Roelandts Group Pty ltd
Roha (Australia) Pty. ltd
Rojone Pty ltd
Roll Surface Technologies Pty Limited
Rollex Group Australia (2009) Pty ltd
Rollpress Proplate Group Pty Limited
Romaldi Constructions Pty ltd
Ronstan International Pty ltd
Rose Atkins Rimmer (Infrastructure) Pty ltd
Rosebin Pty ltd
Roseworx Engineering
Rotadyne Pty ltd
Rototech Pty ltd
Rowe Scientific Pty ltd
Rowlands Metal Works Pty ltd
Roxtec Australia Pty. ltd
Royal Alexandra Hospital for Children
Royal Australian Mint
Royal Australian Navy Fleet Headquarters
Royce Cleaning & Property Maintenance Services Pty ltd
RPMGlobal Holdings Limited
RSM AUSTRALIA PTY ltd
RSP Automotive & Industrial Pty ltd
Rubicon Systems Australia Pty ltd
RUC Cementation Mining Contractors Pty ltd
RUD Chains Pty ltd
Ruhrpump 
RUS Mining Services Pty Limited
Russell McLelland Brown
Russell Mineral Equipment Pty ltd
Russell Transport Pty. ltd
Rutherford Electrical Engineering Services
RW & DD Gabriel Electrical Contractors Pty ltd
RXI Group Pty ltd
RYCO GROUP PTY LIMITED
Rymed Pty ltd
S P Products Pty ltd
S. Smith & Son Pty Limited
S.E.S. Sales (Aust) Pty. ltd
S360 Pty ltd
SA Asbestos Services Pty ltd
SA Power Networks
Sabor Limited
Safe Direction Pty ltd
Safe Tasks (AUST) Pty ltd
SAFE365 LimitedAucklandNew Zealand Active
Saferight Pty ltd
Safety Barriers WA Pty ltd
Safety Equipment Australia Pty ltd
Safety Link
SAF-HOLLAND (Aust) Pty. ltd
Saint-Gobain Abrasives Pty ltd
Salcorp Civil Pty ltd
Sandvik Mining And Construction Australia Pty ltd
Sanikleen Group Australia Pty Limited
Santek Pty ltd
Sanwa Pty ltd
Sarina Russo Job Access (Australia) Pty ltd
Scan Optics Pty ltd
Scandia Group Pty ltd
SCC (SA) Pty ltd
Schemalogic Australia Pty ltd
Schindler Lifts Australia Pty ltd
Schlam Engineering
Schlumberger Australia Pty ltd
Scope Global Pty ltd
Scott Printers Pty ltd
Scubatek Australia Pty ltd
Sea To Summit Pty ltd
Seaforth Pines Outdoor Education and Conference Centre Pty ltd
Sealed Air (New Zealand)
Sealed Air Australia Pty Limited
Sealing Devices Queensland Pty ltd
Sealite Pty ltd
Searcher Seismic Pty ltd
SEC Plating Pty ltd
Secom Technical Services Pty ltd
Security 1 Manpower Pty ltd
Security Shift Group Pty ltd
Sedgman Pty Limited
Sefar Pty ltd
Selectronic Australia Pty ltd
Semal Pty ltd
Sencova Steel Fabricators Pty ltd
Sentek Pty ltd
Serco Australia Traffic Camera Services
Serco Traffic Camera Services (Vic) Pty. ltd
Serendipity (WA) Pty ltd
Serin Towing and Recovery Pty ltd
Service Body Manufacturing Australia Pty ltd
Service Master Solutions Pty ltd
ServiceFM Pty ltd
SESL Australia Pty ltd
Setec BMPRO Pty ltd
SG Fleet Australia Pty ltd
SG Fleet Group Limited
SGS Australia Pty ltd
Shamrock Civil Engineering Pty ltd
Sheen Panel Service (VIC) Pty ltd
Shermac Australia Pty ltd
Shield Mercantile Pty ltd
Shinagawa Refractories Australasia Pty ltd
SHK Asia Pacific Pty ltd
Sicame Australia Pty ltd
Sick Pty ltd
Siegel Pty ltd
Siggins Miller Consultants Pty ltd
Signet Pty ltd
Silver Fox Chemicals Pty ltd
Simba Textile Mills Pty ltd
Simcoa Operations Pty ltd
Simoco Wireless Solutions Pty ltd
Simon Byrne Pty ltd
Simon Walters
Simple Biz
Sinclair Five Building Pty ltd
Sinelec Australia Pty ltd
SingTel Optus Pty Limited
SIRVA Worldwide Inc
Site Environmental & Remediation Services Pty ltd
Site Plus Pty ltd
Sitecorp Construction Pty ltd
Sitecraft Pty ltd
Sitep Australia Pty ltd
SJ & LM CONTRACTING 
SJA Construction Services Pty ltd
Skillpro Services Pty ltd
Skyblue Ventures
Skybridge Group Pty ltd
Skytraders Pty ltd
Skyzer Pty ltd
Slade Group 
SLE Services
Smart Fabrication Pty ltd
Smart Structures AU Pty ltd
Smartscaff Pty ltd
SMS Contracting Pty ltd
SMYV Pty ltd
SNAGFU Pty ltd
Snap Fresh Pty Limited
Snow Brand Australia Pty ltd
Socobell O.E.M. Pty ltd
Sodastream Australia Pty ltd
Solcrest Pty ltd
Solute Pty ltd
Solutions I.T. Asia Pacific Pty ltd
Solvay Interox Pty ltd
Solvents Australia Pty ltd
Sonartech Atlas Pty ltd
Sonnex Pty ltd
Sonova Australia Pty ltd
South Australian Health and Medical Research Institute Limited
South East Conveyors Pty ltd
South East Water Corporation
South West Fire 
South Western Sydney Primary Health Network ltd
Southcott Pty ltd
Southern Cranes (Metropol) Pty ltd
Southern Cross Station Pty ltd
Southern Medical Day Care Centre Pty ltd
Southern Metropolitan Regional Council
Southern Steel Group Pty ltd
SP and R Group Pty ltd
SP McLean Engineering Pty ltd
Spaceframe Buildings Pty ltd
Sparrows Services Australia Pty ltd
Special Broadcasting Service (SBS)
Specialised & Emergency Vehicles Australia (EC) Pty ltd
