Brookfarm Pty ltd
Brown and Watson International Pty ltd
BROWN BROWN LLOYD 
Brown Falconer Group Pty ltd
Brownbuilt Pty Limited
Brownfield Engineering and Maintenance Pty ltd
Brunel Australia Holdings Pty ltd
BSF Mobile Cranes Pty ltd
Bucher Municipal Pty. ltd
Buckby Contracting Pty ltd
Buden Industries Pty ltd
Buildcorp Group Pty Limited
Bulk Handling Australia Group Pty ltd
Bunbury Engineering Network Pty ltd
Bunbury Water Corporation
Bundaberg Sugar ltd
Bupa Health Services Pty ltd
Bureau of Meteorology
Burton Contractors Pty ltd
Burwell Technologies Pty ltd
Busch ANZ Pty ltd
Bushell & Cornish Pty ltd
Bustech Pty ltd
Butler Fabrication Pty ltd
Butterfields Services (Aust) Pty ltd
Buttrose Earthmovers Pty ltd
BWX Limited
Byron Wade Pty Limited
C & C Plastics & Tool Making Pty ltd
C A Henschke & CoK
C D SA Pty ltd
C.P.M. Australia Pty. ltd
C4i Pty ltd
Cable Layers Australia Pty ltd
Cabrini Technology Group
Caddle Investments Pty ltd
CADDS Group Pty ltd
Cadence Australia Pty ltd
Cadgile Pty ltd
Cadia Group Pty ltd
CADS Group Australia Pty ltd
CAE Australia Pty ltd
Cafetto Pty ltd
Calcorp Services Pty ltd
Calcutta Group Pty ltd
Calibre Professional Services Pty ltd
Calm Aluminium Pty ltd
Campagno Engineering Pty. ltd
Campaign Edge Sprout Pty ltd
Camperdown Powder Pty ltd
Canberra and Queanbeyan Cleaning Service Pty ltd
Canberra Data Centres Proprietary Limited
Canprint Communications Pty ltd
Cape Cod Australia Pty ltd
Capital Credit Solutions Pty ltd
Capitol Commercial Builders
Capricorn Bulk Haulage Pty ltd
Carbon Nexus
Carbon Revolution Limited
CardioScan Services Pty ltd
Cardno Emerging Markets (Aust) Pty ltd
Cardno Limited
Care Park Pty ltd
CareFlight Limited
Carrington Electrical Services Pty ltd
Carroll & O'Dea Lawyers
Carroll & Richardson-Flagworld Pty ltd
Cascade (Australia) Pty ltd
Casella Wines Pty ltd
CASPAK PRODUCTS PTY ltd
Castle Equipment
Castlyn Pty ltd
Catalyst Communication Rigging Pty ltd
Cathay Industries Australasia Pty ltd
Cays Engineering
CBI Constructors Pty ltd
CD Power Pty ltd
CDM Australia Pty ltd
Cello Paper Pty ltd
Cement Australia Pty Limited
Central Highlands Region Water Corporation
Central Seq Distributor-Retailer Authority
Centrecare
Centric Building Services Engineers Pty ltd
Century Yuasa Batteries Pty ltd
CEOS Industrial Pty ltd
Certis Security Australia Pty ltd
Cesco Australia Limited
Chadoak Group
Challenge Pumps Pty ltd
Chandler Macleod Group Limited
Charles Sturt Campus Services Limited
Charlie Battisti and Co Pty ltd
Charmax Property Maintenance Pty ltd
Cheetham Salt Limited
Chelgrave Contracting Australia Pty ltd
Chemical Formulators Pty ltd
Chief Group Services Pty ltd
Chippen Holdings Pty ltd
CHM Corporate Health Management Pty ltd
